Index,Name,Party,Type,twitter,Ministership / Focus
1041,afneil,N/A,Media,@afneil,
9,"Alderdice, Lord",Liberal Democrat,Lord,@AlderdiceLord ,
1040,alistair heath,N/A,Media,@alistairheath,
1038,andrew comres,N/A,Media,@andrew_comres,
1032,andrew sparrow,N/A,Media,@andrewsparrow,
1037,anntreneman,N/A,Media,@anntreneman,
1005,Alan Rudbridger,N/A,Media,@arusbridger,
178,"Deech, Baroness",Crossbench,Lord,@BaronessDeech,
244,"Gale, Baroness",Labour,Lord,@BaronessGale,
1042,bbc normans,N/A,Media,@bbcnormans,
1049,Org: bbcpolitics,N/A,Media,@bbcpolitics,
1052,Org: bbcr4today,N/A,Media,@bbcr4today,
1017,campbellclaret,N/A,Media,@campbellclaret,
1050,Org: channel4news,N/A,Media,@channel4news,
625,"Sacks, Lord",Crossbench,Lord,@chiefrabbi,
1045,chrisshipitv,N/A,Media,@chrisshipitv,
1034,craiga woodhouse,N/A,Media,@craigawoodhouse,
1030,gallagher editor,N/A,Media,@gallaghereditor,
1007,Paul Staines,N/A,Media,@GuidoFawkes,
1021,iain dale,N/A,Media,@iaindale,
1035,ian katz,N/A,Media,@iankatz1000,
1055,Org: ipsosmori,N/A,Media,@ipsosmori,
1057,Org: ipsosmori ,N/A,Media,@ipsosmori ,
1016,Laura Kuenssberg,N/A,Media,@ITVLauraK,
1023,james chappers,N/A,Media,@jameschappers,
1022,jg forsyth,N/A,Media,@jgforsyth,
1031,joe murphy london,N/A,Media,@joemurphylondon,
1003,Johann Hari,N/A,Media,@johannhari101,
579,"Prescott, Lord",Labour,Lord,@johnprescott,
1014,John Rentoul,N/A,Media,@JohnRentoul,
1018,johnrentoul,N/A,Media,@johnrentoul,
1012,Jon Snow,N/A,Media,@jonsnowC4,
1028,kiran stacey,N/A,Media,@kiranstacey,
622,"Royall of Blaisdon, Baroness",Labour,Lord,@LabourRoyall,
142,"Collins of Highbury, Lord",Labour,Lord,@Lord_Collins,
699,"Sugar, Lord",Labour,Lord,@Lord_Sugar,
191,"Drayson, Lord",Labour,Lord,@lorddrayson,
380,"Kennedy of Southwark, Lord",Labour,Lord,@LordKennedy1,
437,"Lucas, Lord",Conservative,Lord,@LordLucasCD,
481,"McConnell of Glenscorrodale, Lord",Labour,Lord,@LordMcConnell,
536,"Norton of Louth, Lord",Conservative,Lord,@LordNortonLouth ,
600,"Rennard, Lord",Liberal Democrat,Lord,@LordRennard,
695,"Storey, Lord",Liberal Democrat,Lord,@LordStorey,
697,"Strasburger, Lord",Liberal Democrat,Lord,@LordStras,
714,"Teverson, Lord",Liberal Democrat,Lord,@lordtev,
1010,Lucy Marcus,N/A,Media,@lucymarcus,
1046,Org: mailonline,N/A,Media,@mailonline,
1000,Boris Johnson,Conservative ,Other,@MayorofLondon,Mayor of London
1019,msmithsonPB,N/A,Media,@msmithsonPB,
1036,mtharry cole,N/A,Media,@mtharrycole,
1025,nick ferrarilbc,N/A,Media,@nickferrarilbc,
1024,oflynn express,N/A,Media,@oflynnexpress,
1033,patrick wintour,N/A,Media,@patrickwintour,
1008,Paul Waugh,N/A,Media,@paulwaugh,
1029,pcollins times,N/A,Media,@pcollinstimes,
1009,Robert Peston,N/A,Media,@Peston,
1015,Phillip Blond,N/A,Media,@Phillip_Blond,
1054,Org: politicalbeting,N/A,Media,@politicalbeting,
1048,Org: politicshomeuk,N/A,Media,@politicshomeuk,
1006,Brian Cox,N/A,Media,@ProfBrianCox,
1004,Richard Dawkins,N/A,Media,@RichardDawkins,
522,"Newby, Lord",Liberal Democrat,Lord,@RichardNewby3,
1026,roland watson,N/A,Media,@rolandwatson66,
1027,sand standard,N/A,Media,@sandstandard,
1001,Sarah Brown,N/A,Media,@SarahBrownUK,
1053,Org: skynews,N/A,Media,@skynews,
1039,sophyridgesky,N/A,Media,@sophyridgesky,
1011,Sunder Katwala,N/A,Media,@sundersays,
1051,Org: telepolitics,N/A,Media,@telepolitics,
1047,Org: theeconomist,N/A,Media,@theeconomist,
1020,tim montgomerie,N/A,Media,@timmontgomerie,
696,"Stowell of Beeston, Baroness",Conservative,Lord,@tinastowell,
1044,tnewtondunn,N/A,Media,@tnewtondunn,
1043,toad meister,N/A,Media,@toadmeister,
1013,Tom Watson,Labour,MP,@tom_watson,Deputy Chair of the Labour Party
1056,Org: yougov,N/A,Media,@yougov,
1002,Zee Kane,N/A,Media,@Zee,
179,"Deighton, Lord",Conservative,Lord,,Commercial Secretary to the Treasury
633,"Sassoon, Lord",Conservative,Lord,,"Commercial Secretary, HM Treasury"
698,"Strathclyde, Lord",Conservative,Lord,,"Leader of the House of Lords, House of Lords"
18,"Anelay of St Johns, Baroness",Conservative,Lord,,"Lords Chief Whip, House of Lords"
486,"McNally, Lord",Liberal Democrat,Lord,,"Minister of State, Justice"
339,"Howe, Earl",Conservative,Lord,,"Parliamentary Under Secretary of State (Quality), Health"
241,"Freud, Lord",Conservative,Lord,,"Parliamentary Under Secretary of State (Welfare Reform), Work and Pensions"
293,"Hanham, Baroness",Conservative,Lord,,"Parliamentary Under Secretary of State, Communities and Local Government"
27,"Astor of Hever, Lord",Conservative,Lord,,"Parliamentary Under Secretary of State, Defence"
321,"Hill of Oareford, Lord",Conservative,Lord,,"Parliamentary Under Secretary of State, Education"
30,"Attlee, Earl",Conservative,Lord,,"Whip, House of Lords"
174,"De Mauley, Lord",Conservative,Lord,,"Whip, House of Lords"
535,"Northover, Baroness",Liberal Democrat,Lord,,"Whip, House of Lords"
591,"Rawlings, Baroness",Conservative,Lord,,"Whip, House of Lords"
708,"Taylor of Holbeach, Lord",Conservative,Lord,,"Whip, House of Lords"
750,"Verma, Baroness",Conservative,Lord,,"Whip, House of Lords"
761,"Wallace of Saltaire, Lord",Liberal Democrat,Lord,,"Whip, House of Lords"
1,"Aberdare, Lord",Crossbench,Lord,,
2,"Adams of Craigielea, Baroness",Labour,Lord,,
3,"Addington, Lord",Liberal Democrat,Lord,,
4,"Adebowale, Lord",Crossbench,Lord,,
5,"Adonis, Lord",Labour,Lord,,
6,"Afshar, Baroness",Crossbench,Lord,,
7,"Ahmad of Wimbledon, Lord",Conservative,Lord,,
8,"Ahmed, Lord",Labour,Lord,,
10,"Allan of Hallam, Lord",Liberal Democrat,Lord,,
11,"Allenby of Megiddo, Viscount",Crossbench,Lord,,
12,"Alli, Lord",Labour,Lord,,
13,"Alliance, Lord",Liberal Democrat,Lord,,
14,"Alton of Liverpool, Lord",Crossbench,Lord,,
15,"Amos, Baroness",Other,Lord,,
16,"Anderson of Swansea, Lord",Labour,Lord,,
17,"Andrews, Baroness",Labour,Lord,,
19,"Archer of Weston-Super-Mare, Lord",Non-affiliated (current Member),Lord,,
20,"Armstrong of Hill Top, Baroness",Labour,Lord,,
21,"Armstrong of Ilminster, Lord",Crossbench,Lord,,
22,"Arran, Earl",Conservative,Lord,,
23,"Ashcroft, Lord",Conservative,Lord,,
24,"Ashdown of Norton-sub-Hamdon, Lord",Liberal Democrat,Lord,,
25,"Ashton of Hyde, Lord",Conservative,Lord,,
26,"Ashton of Upholland, Baroness",Other,Lord,,
28,"Astor, Viscount",Conservative,Lord,,
29,"Attenborough, Lord",Other,Lord,,
31,"Avebury, Lord",Liberal Democrat,Lord,,
32,"Bach, Lord",Labour,Lord,,
33,"Baker of Dorking, Lord",Conservative,Lord,,
34,"Bakewell, Baroness",Labour,Lord,,
35,"Baldwin of Bewdley, Earl",Crossbench,Lord,,
36,"Ballyedmond, Lord",Conservative,Lord,,
37,"Bannside, Lord",Democratic Unionist,Lord,,
38,"Barber of Tewkesbury, Lord",Other,Lord,,
39,"Barker, Baroness",Liberal Democrat,Lord,,
40,"Barnett, Lord",Labour,Lord,,
41,"Bassam of Brighton, Lord",Labour,Lord,,
42,"Bates, Lord",Conservative,Lord,,
43,"Bath and Wells, Bishop",Bishops,Lord,,
44,"Beecham, Lord",Labour,Lord,,
45,"Bell, Lord",Conservative,Lord,,
46,"Benjamin, Baroness",Liberal Democrat,Lord,,
47,"Berkeley, Lord",Labour,Lord,,
48,"Berridge, Baroness",Conservative,Lord,,
49,"Best, Lord",Crossbench,Lord,,
50,"Bew, Lord",Crossbench,Lord,,
51,"Bhatia, Lord",Non-affiliated (current Member),Lord,,
52,"Bhattacharyya, Lord",Labour,Lord,,
53,"Bichard, Lord",Crossbench,Lord,,
54,"Bilimoria, Lord",Crossbench,Lord,,
55,"Billingham, Baroness",Labour,Lord,,
56,"Bilston, Lord",Labour,Lord,,
57,"Birmingham, Bishop",Bishops,Lord,,
58,"Birt, Lord",Crossbench,Lord,,
59,"Black of Brentwood, Lord",Conservative,Lord,,
60,"Black of Crossharbour, Lord",Other,Lord,,
61,"Blackstone, Baroness",Labour,Lord,,
62,"Blackwell, Lord",Conservative,Lord,,
63,"Blair of Boughton, Lord",Crossbench,Lord,,
64,"Blencathra, Lord",Conservative,Lord,,
65,"Blood, Baroness",Labour,Lord,,
66,"Blyth of Rowington, Lord",Conservative,Lord,,
67,"Boateng, Lord",Labour,Lord,,
68,"Bonham-Carter of Yarnbury, Baroness",Liberal Democrat,Lord,,
69,"Boothroyd, Baroness",Crossbench,Lord,,
70,"Borrie, Lord",Labour,Lord,,
71,"Boswell of Aynho, Lord",Non-affiliated (current Member),Lord,,
